"",BBFBOPV.M.N.DE.W1.S121.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S121.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN1._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN1._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.G._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.G._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1P.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1P.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA._T.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA._T.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN1._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN1._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.G._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.G._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.D.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.D.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.S._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.S._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S12T.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S12T.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S121.S1.T.A.FA.R.F._Z.EUR.X1._X.N.ALL,BBFBOPV.M.N.DE.W1.S121.S1.T.A.FA.R.F._Z.EUR.X1._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.P.F._Z.EUR._T.M.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.P.F._Z.EUR._T.M.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.G._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.G._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.A.FA.F.F7.T.EUR._T.T.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.A.FA.F.F7.T.EUR._T.T.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.EO._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.EO._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.KA._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.KA._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S13.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S13.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN1._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN1._Z._Z._Z.EUR._T._X.N.ALL_FLAGS
"",Financial account / Net / Other investment / Domestic sector: Central bank / Rest of the world,,Current account / Services / Expenditure / Rest of the world,,Current account / Services / Receipts / Rest of the world,,Current account / Primary income / Balance / Rest of the world,,Financial account / Net / Other investment / Rest of the world,,Current account / Goods / Expenditure / Rest of the world,,Current account / Secondary income / Balance / Rest of the world,,Financial account / Net / Other investment / Domestic sector: Enterprises and households / Rest of the world,,Financial account / Net / Rest of the world,,Current account / Primary income / Receipts / Rest of the world,,Current account / Goods / Balance / Rest of the world,,Financial account / Net / Direct investment / Rest of the world,,Current account / Services / Balance / Rest of the world,,Financial account / Net / Other investment / Domestic sector: Monetary financial institutions (excl. central bank) / Rest of the world,,Financial account / Net domestic investment abroad / Reserve assets / Domestic sector: Central bank / Rest of the world,,Current account / Secondary income / Receipts / Rest of the world,,Financial account / Net / Portfolio investment / Rest of the world,,Current account / Goods / Receipts / Rest of the world,,Financial account / Net domestic investment abroad / Financial derivatives and employee stock options / Rest of the world,,Current account / Balance / Rest of the world,,Net errors and omissions / Rest of the world,,Capital account / Balance / Rest of the world,,Current account / Secondary income / Expenditure / Rest of the world,,Financial account / Net / Other investment / Domestic sector: General government / Rest of the world,,Current account / Primary income / Expenditure / Rest of the world,
Decimals,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,
Methodological explanation (in english),,,"Including freight and insurance costs of foreign trade, see explanatory notes in Statistical Supplements 3, Balance of payments statistics.",,"Including freight and insurance costs of foreign trade, see explanatory notes in Statistical Supplements 3, Balance of payments statistics.",,,,Includes in particular financial and trade credits as well as currency and deposits.,,"Excluding freight and insurance costs of foreign trade, see explanatory notes in Statistical Supplements 3, Balance of payments statistics. For transition from foreign trade to trade in goods, see also Table 3 (a) in Statistical Supplements 3, Balance of payments statistics.",,,,,,,,,,"Excluding freight and insurance costs of foreign trade, see explanatory notes in Statistical Supplements 3, Balance of payments statistics. For transition from foreign trade to trade in goods, see also Table 3 (a) in Statistical Supplements 3, Balance of payments statistics.",,"For a definition of direct investment, see Table 9 c) in Statistical Supplements 3, Balance of payments statistics.",,"Including freight and insurance costs of foreign trade, see explanatory notes in Statistical Supplements 3, Balance of payments statistics.",,,,,,,,,,"Excluding freight and insurance costs of foreign trade, see explanatory notes in Statistical Supplements 3, Balance of payments statistics. For transition from foreign trade to trade in goods, see also Table 3 (a) in Statistical Supplements 3, Balance of payments statistics.",,,,,,"Statistical errors and omissions, resulting from the difference between the balance on the financial account and the balances on the current account and the capital account.",,Including net acquisition/disposal of non-produced non-financial assets.,,,,,,,
Time format code,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,,P1M,
category,AWFA,,AWCKA,,AWCKA,,AWCKA,,AWFA,,AWCKA,,AWCKA,,AWFA,,AWFA,,AWCKA,,AWCKA,,AWFA,,AWCKA,,AWFA,,AWFA,,AWCKA,,AWFA,,AWCKA,,AWFA,,AWCKA,,AWCKA,,AWCKA,,AWCKA,,AWFA,,AWCKA,
unit,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,,EURO,
unit multiplier,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,,Millions,
last update,2024-03-14 12:22:20,,2024-03-14 12:21:36,,2024-03-14 12:21:14,,2024-03-14 12:20:50,,2024-03-14 12:22:10,,2024-03-14 12:21:35,,2024-03-14 12:20:50,,2024-03-14 12:22:45,,2024-03-14 12:22:10,,2024-03-14 12:21:13,,2024-03-14 12:20:49,,2024-03-14 12:22:10,,2024-03-14 12:20:50,,2024-03-14 12:22:22,,2024-03-14 14:41:24,,2024-03-14 12:21:13,,2024-03-14 12:22:10,,2024-03-14 12:21:12,,2024-03-14 12:20:26,,2024-03-14 12:20:49,,2024-03-14 12:22:10,,2024-03-14 12:20:50,,2024-03-14 12:21:36,,2024-03-14 12:22:34,,2024-03-14 12:21:36,
1971-01,-221.696,,1173.817,,859.629,,248.471,,1015.202,,3940.715,,-414.808,,-966.579,,1632.502,,592.179,,677.206,,231.661,,-314.188,,2218.319,,432.446,,101.410,,-46.806,,4617.921,,-,Nothing exists,196.682,,1461.900,,-26.079,,516.218,,-14.842,,343.707,
1971-02,-8.703,,1110.901,,831.154,,216.829,,-555.653,,4502.592,,-551.021,,-371.829,,931.069,,604.374,,758.876,,38.574,,-279.747,,121.006,,1574.891,,79.438,,-126.743,,5261.468,,-,Nothing exists,144.937,,809.615,,-23.483,,630.459,,-296.127,,387.544,
1971-03,53.299,,1306.394,,1031.181,,276.192,,-1245.398,,5072.286,,-462.039,,-891.957,,1058.118,,719.540,,1317.385,,287.140,,-275.213,,-482.696,,1777.128,,78.826,,239.247,,6389.671,,-,Nothing exists,856.325,,200.889,,0.903,,540.864,,75.956,,443.348,
1971-04,-93.258,,1233.029,,913.644,,141.759,,-977.452,,4573.820,,-434.796,,-1213.273,,342.813,,544.095,,971.392,,-185.310,,-319.386,,317.928,,1750.242,,89.649,,-244.669,,5545.212,,-,Nothing exists,358.969,,4.118,,-20.274,,524.445,,11.151,,402.336,
1971-05,-115.312,,1298.475,,930.537,,0.285,,-2499.545,,4353.254,,-414.824,,-1414.553,,1885.422,,440.326,,999.519,,165.728,,-367.938,,-847.424,,4233.787,,90.522,,-14.548,,5352.773,,-,Nothing exists,217.042,,1698.284,,-29.904,,505.346,,-122.256,,440.041,
1971-06,-3.998,,1526.805,,1037.128,,59.468,,2708.923,,4801.240,,-439.824,,606.289,,-1286.752,,587.492,,790.381,,61.180,,-489.678,,1849.662,,-4103.999,,98.016,,47.145,,5591.621,,-,Nothing exists,-79.653,,-1204.013,,-3.087,,537.840,,256.969,,528.024,
1971-07,56.385,,1865.052,,1175.395,,-56.046,,-579.454,,4693.561,,-576.340,,-12.172,,-17.653,,525.691,,1209.967,,-139.129,,-689.658,,-582.744,,734.162,,129.513,,-33.231,,5903.528,,-,Nothing exists,-112.077,,126.729,,-32.305,,705.853,,-40.923,,581.738,
1971-08,136.477,,1789.584,,1067.322,,51.669,,-213.566,,4043.487,,-531.565,,824.328,,-672.710,,520.096,,1150.570,,49.805,,-722.262,,-1153.790,,-500.644,,79.685,,-8.306,,5194.057,,-,Nothing exists,-51.588,,-595.357,,-25.765,,611.250,,-20.580,,468.427,
1971-09,-29.235,,1591.274,,1042.694,,133.844,,560.776,,4474.539,,-450.967,,670.803,,782.789,,581.366,,1261.091,,12.459,,-548.579,,-145.640,,427.108,,79.017,,-217.554,,5735.630,,-,Nothing exists,395.389,,393.127,,-5.726,,529.984,,64.848,,447.522,
1971-10,-174.851,,1380.939,,923.911,,169.860,,-20.362,,4637.170,,-413.533,,366.782,,359.751,,533.531,,1108.055,,-49.046,,-457.028,,-96.578,,483.001,,90.216,,-53.842,,5745.225,,-,Nothing exists,407.354,,-22.920,,-24.684,,503.749,,-115.715,,363.670,
1971-11,16.780,,1165.735,,919.540,,7.846,,-9.815,,4585.173,,-485.165,,208.505,,15.855,,475.497,,758.901,,74.571,,-246.195,,-137.026,,303.781,,136.371,,-352.682,,5344.074,,-,Nothing exists,35.387,,9.157,,-28.689,,621.536,,-98.074,,467.651,
1971-12,-189.252,,1454.736,,1110.999,,-581.403,,-2055.041,,4860.930,,-265.899,,1435.494,,-1187.154,,585.111,,1106.196,,-149.347,,-343.737,,-3763.195,,1227.835,,398.056,,-210.601,,5967.126,,-,Nothing exists,-84.843,,-1106.096,,3.786,,663.955,,461.913,,1166.514,
1972-01,-305.495,,1260.714,,820.086,,205.266,,1456.277,,4244.674,,-454.016,,-850.438,,1767.471,,605.505,,842.034,,120.859,,-440.628,,2755.502,,695.895,,134.668,,-505.561,,5086.707,,-,Nothing exists,152.656,,1634.409,,-19.595,,588.684,,-143.292,,400.238,
1972-02,-22.468,,1179.733,,807.199,,-15.739,,-154.808,,4652.434,,-445.296,,-230.675,,-3.731,,481.711,,1136.713,,-211.216,,-372.534,,284.129,,1226.151,,87.830,,-863.858,,5789.147,,-,Nothing exists,303.144,,-284.846,,-22.030,,533.126,,-185.794,,497.450,
1972-03,182.035,,1453.703,,992.445,,93.429,,1752.387,,5206.915,,-587.606,,1380.906,,412.702,,537.675,,1073.832,,-4.861,,-461.257,,213.580,,-107.441,,82.729,,-1227.383,,6280.747,,-,Nothing exists,118.397,,318.198,,-23.894,,670.335,,-24.133,,444.245,
1972-04,2.823,,1315.290,,926.733,,97.951,,1010.814,,4779.880,,-433.660,,810.472,,180.866,,552.751,,920.584,,-25.820,,-388.557,,206.719,,98.013,,105.067,,-902.141,,5700.463,,-,Nothing exists,196.317,,-9.885,,-5.566,,538.727,,-9.200,,454.800,
1972-05,5.685,,1409.189,,953.234,,303.416,,355.968,,5157.191,,-537.614,,353.377,,-70.090,,553.957,,881.301,,-14.457,,-455.955,,267.260,,101.059,,82.124,,-512.660,,6038.492,,-,Nothing exists,191.147,,-234.801,,-26.437,,619.737,,-270.355,,250.541,
1972-06,-209.157,,1611.169,,1117.483,,-112.464,,-2661.919,,5164.233,,-478.268,,-898.630,,667.982,,735.434,,901.115,,-61.127,,-493.686,,-1673.883,,4551.433,,133.681,,-1160.405,,6065.348,,-,Nothing exists,-183.304,,879.473,,-28.188,,611.949,,119.751,,847.898,
1972-07,-419.737,,1833.512,,1185.876,,39.191,,-2815.800,,4580.532,,-603.811,,-822.099,,-304.343,,659.053,,1062.808,,23.634,,-647.636,,-1474.744,,3678.416,,144.991,,-1190.594,,5643.340,,-,Nothing exists,-149.449,,-119.798,,-35.096,,748.802,,-99.219,,619.862,
1972-08,164.432,,1987.580,,1209.472,,-17.744,,52.000,,4713.634,,-548.954,,-809.470,,-644.561,,693.782,,1072.464,,59.020,,-778.109,,843.325,,-346.861,,124.575,,-408.720,,5786.098,,-,Nothing exists,-272.342,,-351.666,,-20.553,,673.529,,-146.288,,711.526,
1972-09,498.762,,1734.246,,1183.574,,-52.850,,1055.277,,4869.603,,-475.756,,537.498,,-86.167,,506.034,,1075.608,,-33.704,,-550.672,,-73.348,,-937.607,,105.113,,-170.133,,5945.211,,-,Nothing exists,-3.670,,-95.099,,12.602,,580.869,,92.365,,558.883,
1972-10,-232.865,,1405.876,,1037.679,,68.869,,523.221,,5454.655,,-487.618,,877.351,,362.691,,594.316,,1661.154,,19.819,,-368.197,,-334.181,,-175.874,,112.796,,-4.475,,7115.809,,-,Nothing exists,874.208,,-486.512,,-25.005,,600.414,,212.917,,525.446,
1972-11,23.227,,1394.375,,1111.678,,-137.350,,1381.339,,5407.076,,-415.242,,772.735,,429.514,,512.549,,1126.168,,-211.747,,-282.697,,413.391,,-556.804,,231.461,,-183.274,,6533.244,,-,Nothing exists,290.880,,164.280,,-25.646,,646.703,,171.986,,649.899,
1972-12,108.801,,1714.993,,1194.860,,-274.389,,492.205,,5157.179,,-501.622,,1661.501,,37.849,,679.144,,1842.700,,274.203,,-520.133,,-1981.044,,-252.254,,215.983,,-476.306,,6999.879,,-,Nothing exists,546.555,,-478.882,,-29.825,,717.606,,702.947,,953.534,
1973-01,289.564,,1461.389,,970.546,,133.150,,1502.994,,5207.676,,-478.556,,-233.998,,1004.171,,694.739,,1197.542,,179.203,,-490.843,,1473.388,,-439.817,,142.778,,-238.209,,6405.217,,-,Nothing exists,361.293,,683.490,,-40.612,,621.334,,-25.960,,561.589,
1973-02,-1563.567,,1267.156,,1004.462,,97.542,,-7235.499,,5324.410,,-617.085,,-2077.086,,1107.938,,693.495,,1396.394,,58.631,,-262.694,,-3495.247,,8731.249,,107.724,,-446.443,,6720.804,,-,Nothing exists,614.157,,503.550,,-9.769,,724.809,,-99.598,,595.953,
1973-03,-814.300,,1504.918,,998.702,,19.061,,-3073.705,,5699.492,,-482.138,,-813.843,,953.130,,701.428,,1513.238,,134.570,,-506.216,,-1294.740,,3831.212,,107.703,,61.053,,7212.731,,-,Nothing exists,543.946,,425.938,,-16.755,,589.841,,-150.822,,682.367,
1973-04,35.021,,1590.271,,1099.245,,149.426,,1074.775,,5201.025,,-458.865,,227.384,,596.568,,665.872,,1821.215,,-66.547,,-491.026,,711.181,,-496.138,,115.537,,84.477,,7022.240,,-,Nothing exists,1020.750,,-409.451,,-14.731,,574.402,,101.189,,516.446,
1973-05,699.062,,1536.182,,1060.706,,34.232,,2126.536,,5721.521,,-686.359,,-253.025,,1042.342,,710.711,,2019.457,,41.354,,-475.476,,1496.268,,-859.556,,112.023,,-265.991,,7740.977,,-,Nothing exists,891.854,,167.232,,-16.744,,798.381,,184.230,,676.479,
1973-06,858.387,,1947.829,,1267.623,,95.378,,-257.554,,5370.851,,-714.453,,-1023.899,,60.729,,957.547,,1242.380,,-295.394,,-680.206,,-171.425,,898.289,,151.978,,-284.611,,6613.231,,-,Nothing exists,-56.900,,142.108,,-24.479,,866.431,,79.383,,862.169,
1973-07,66.696,,2293.561,,1225.321,,-35.053,,-937.082,,5488.278,,-715.593,,-176.407,,848.398,,779.595,,1615.844,,-66.082,,-1068.240,,-1029.680,,2394.599,,163.591,,-543.036,,7104.123,,-,Nothing exists,-203.042,,1078.182,,-26.743,,879.185,,202.309,,814.648,
1973-08,178.263,,2278.764,,1166.668,,207.777,,1418.255,,4994.275,,-725.545,,412.614,,-2.390,,781.975,,2128.392,,-17.893,,-1112.096,,768.905,,-1017.823,,83.181,,-384.929,,7122.667,,-,Nothing exists,498.529,,-482.546,,-18.373,,808.726,,58.473,,574.198,
1973-09,-65.084,,1823.358,,1103.873,,-26.239,,-1154.671,,5222.581,,-585.162,,-508.744,,1187.731,,652.312,,2192.722,,-54.111,,-719.485,,-553.057,,2626.859,,102.802,,-230.347,,7415.303,,-,Nothing exists,861.835,,344.127,,-18.231,,687.964,,-27.786,,678.552,
1973-10,-140.033,,1701.205,,1108.541,,248.621,,2338.432,,6681.641,,-625.648,,77.952,,1269.153,,951.035,,2208.248,,-114.042,,-592.664,,2080.117,,-226.832,,138.198,,-728.406,,8889.889,,-,Nothing exists,1238.557,,49.675,,-19.079,,763.846,,320.396,,702.413,
1973-11,110.668,,1405.202,,1034.481,,14.981,,2215.273,,6346.416,,-517.759,,-272.295,,677.310,,667.182,,1774.202,,7.795,,-370.721,,2174.301,,-1418.347,,109.632,,-127.411,,8120.618,,-,Nothing exists,900.703,,-204.729,,-18.664,,627.391,,202.598,,652.201,
1973-12,337.936,,1711.084,,1138.845,,-281.890,,65.590,,5625.184,,-601.752,,694.173,,-732.241,,903.917,,1683.193,,113.413,,-572.239,,-1420.344,,-1030.354,,232.693,,119.112,,7308.377,,-,Nothing exists,227.313,,-932.243,,-27.311,,834.445,,453.824,,1185.807,
1974-01,131.503,,1667.703,,1072.721,,235.954,,3282.746,,6626.538,,-606.015,,2026.260,,1939.244,,951.435,,2062.096,,-23.958,,-594.982,,1098.695,,-1461.124,,167.973,,141.580,,8688.634,,-,Nothing exists,1097.053,,879.259,,-37.069,,773.988,,26.288,,715.481,
1974-02,-17.276,,1468.972,,1067.016,,-53.396,,1720.590,,5875.840,,-533.798,,1231.231,,1396.976,,729.220,,2854.194,,-72.899,,-401.956,,541.119,,-189.953,,135.059,,-60.762,,8730.035,,-,Nothing exists,1865.045,,-444.260,,-23.808,,668.858,,-34.484,,782.616,
1974-03,46.380,,1800.082,,1141.905,,130.453,,454.228,,7178.939,,-567.499,,1682.305,,1629.555,,782.882,,2772.559,,133.556,,-658.177,,-1297.316,,1148.502,,150.634,,-106.731,,9951.498,,-,Nothing exists,1677.336,,-24.138,,-23.644,,718.132,,22.859,,652.429,
1974-04,45.024,,1636.485,,1095.180,,-95.896,,758.300,,7113.064,,-452.947,,-298.259,,1807.237,,807.932,,2484.602,,-24.930,,-541.305,,920.807,,1200.242,,198.582,,-126.376,,9597.666,,-,Nothing exists,1394.454,,430.127,,-17.344,,651.529,,90.728,,903.828,
1974-05,-221.588,,1781.949,,1200.711,,-178.947,,401.414,,8018.704,,-513.470,,803.147,,1335.016,,867.445,,2581.679,,26.115,,-581.239,,-174.170,,889.030,,204.159,,18.458,,10600.382,,-,Nothing exists,1308.024,,49.786,,-22.793,,717.629,,-5.975,,1046.391,
1974-06,743.178,,1976.276,,1249.981,,106.570,,2568.735,,6985.807,,-634.898,,1564.996,,1548.212,,882.867,,1432.012,,-64.896,,-726.295,,201.928,,-925.690,,160.323,,-29.936,,8417.819,,-,Nothing exists,177.389,,1398.069,,-27.245,,795.221,,58.633,,776.297,
1974-07,-5.005,,2439.181,,1543.913,,-382.298,,214.022,,7915.524,,-517.852,,582.168,,28.375,,764.220,,2425.284,,131.654,,-895.268,,-418.259,,-565.222,,272.918,,247.921,,10340.808,,-,Nothing exists,629.866,,-579.100,,-22.391,,790.770,,55.117,,1146.518,
1974-08,-218.916,,2543.928,,1195.302,,-172.094,,446.248,,7329.747,,-686.179,,-67.282,,-437.575,,916.870,,1927.192,,49.105,,-1348.625,,594.418,,-1352.826,,207.339,,419.897,,9256.939,,-,Nothing exists,-279.706,,-131.693,,-26.176,,893.517,,138.028,,1088.964,
1974-09,2610.846,,2219.485,,1343.235,,247.070,,4167.293,,6952.652,,-740.922,,186.962,,787.361,,893.471,,2488.885,,21.009,,-876.250,,1609.843,,-3723.356,,112.592,,322.416,,9441.537,,-,Nothing exists,1118.783,,-313.333,,-18.088,,853.513,,-240.357,,646.401,
1974-10,469.586,,1834.431,,1182.739,,112.695,,1288.736,,7919.181,,-648.355,,294.316,,1176.933,,832.015,,2920.175,,-5.208,,-651.693,,717.074,,-359.686,,147.073,,253.090,,10839.356,,-,Nothing exists,1732.821,,-530.586,,-25.303,,795.428,,-192.240,,719.320,
1974-11,162.242,,1596.815,,1141.767,,226.180,,570.312,,7354.685,,-863.544,,-664.238,,1660.683,,896.118,,2468.837,,53.728,,-455.048,,1107.325,,785.276,,116.217,,251.367,,9823.521,,-,Nothing exists,1376.425,,309.956,,-25.698,,979.761,,-35.016,,669.939,
1974-12,298.833,,1836.913,,1366.272,,94.969,,1270.087,,6905.767,,-758.963,,-623.640,,830.235,,879.747,,3063.105,,-189.619,,-470.642,,829.968,,-519.846,,137.616,,269.613,,9968.872,,-,Nothing exists,1928.470,,-1070.931,,-27.303,,896.579,,764.925,,784.778,
1975-01,73.529,,1796.292,,1227.817,,202.228,,117.231,,6579.029,,-612.049,,-446.300,,1308.062,,843.486,,2182.053,,211.056,,-568.474,,267.458,,698.339,,147.977,,281.436,,8761.081,,-,Nothing exists,1203.757,,132.438,,-28.134,,760.026,,222.543,,641.258,
1975-02,193.943,,1554.665,,1267.050,,229.378,,232.140,,6956.623,,-594.429,,-1299.720,,1528.388,,860.289,,1920.128,,204.053,,-287.615,,1246.252,,1020.519,,117.651,,71.676,,8876.751,,-,Nothing exists,1267.461,,278.289,,-17.362,,712.080,,91.665,,630.912,
1975-03,-514.493,,1957.261,,1252.955,,69.830,,-317.185,,6841.306,,-517.793,,326.374,,1023.901,,794.407,,2021.292,,101.276,,-704.306,,-357.493,,1074.839,,173.925,,164.971,,8862.598,,-,Nothing exists,869.023,,181.104,,-26.226,,691.718,,228.426,,724.578,
1975-04,121.765,,1820.289,,1316.313,,206.778,,1940.583,,8119.076,,-641.147,,-863.006,,1067.145,,942.098,,1737.133,,258.217,,-503.975,,2591.858,,-1454.230,,152.584,,322.576,,9856.209,,-,Nothing exists,798.789,,293.381,,-25.024,,793.732,,89.967,,735.320,
1975-05,89.386,,1820.638,,1251.606,,26.047,,928.319,,6879.324,,-656.083,,461.866,,599.053,,787.015,,1756.391,,104.658,,-569.032,,439.210,,-453.276,,140.029,,19.351,,8635.716,,-,Nothing exists,557.323,,72.157,,-30.427,,796.112,,-62.143,,760.968,
1975-06,173.657,,2348.612,,1421.194,,-52.261,,671.775,,7630.100,,-650.979,,-225.463,,485.949,,892.453,,1674.073,,163.314,,-927.418,,978.360,,-417.743,,183.113,,68.604,,9304.173,,-,Nothing exists,43.415,,469.977,,-27.444,,834.091,,-254.779,,944.714,
1975-07,-301.062,,2855.530,,1463.729,,201.503,,-514.410,,7607.660,,-766.432,,-1413.407,,-605.346,,932.842,,1900.086,,180.325,,-1391.801,,958.157,,-714.329,,166.647,,443.068,,9507.746,,-,Nothing exists,-56.643,,-521.458,,-27.245,,933.079,,241.902,,731.339,
1975-08,270.249,,2728.133,,1383.525,,121.769,,-472.721,,6632.898,,-769.189,,-1830.444,,-679.465,,837.803,,1233.999,,145.943,,-1344.608,,1095.797,,-320.277,,136.330,,-32.411,,7866.897,,-,Nothing exists,-758.029,,110.135,,-31.572,,905.519,,-8.323,,716.034,
1975-09,-59.031,,2402.408,,1596.665,,349.724,,-699.086,,7571.721,,-843.767,,-299.839,,-482.189,,925.863,,1852.166,,235.123,,-805.742,,-50.962,,-243.233,,110.008,,225.007,,9423.887,,-,Nothing exists,552.380,,-1006.188,,-28.381,,953.775,,-289.254,,576.140,
1975-10,36.475,,2318.818,,1365.701,,272.059,,-1066.585,,8544.857,,-776.727,,184.796,,-32.415,,890.878,,1666.800,,356.384,,-953.117,,-669.878,,555.955,,131.292,,121.831,,10211.657,,-,Nothing exists,209.016,,-203.583,,-37.848,,908.019,,-617.977,,618.819,
1975-11,27.143,,1686.442,,1289.629,,208.411,,1386.337,,7658.381,,-737.010,,1017.339,,1319.712,,874.025,,1958.453,,179.146,,-396.813,,1137.094,,-375.613,,107.974,,129.842,,9616.835,,-,Nothing exists,1033.042,,310.479,,-23.809,,844.984,,-795.239,,665.614,
1975-12,-167.982,,2143.405,,1577.861,,142.288,,410.062,,8216.114,,-831.002,,629.251,,478.232,,1000.020,,2066.556,,261.184,,-565.545,,-592.116,,-392.339,,182.769,,199.325,,10282.671,,-,Nothing exists,812.298,,-312.187,,-21.879,,1013.771,,540.909,,857.732,
